# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.29683   1.300259918e+03
     0.29723   1.466226810e+03
     0.29763   2.499106920e+03
     0.29802   3.528765445e+03
     0.29842   1.261232917e+03
     0.29882   2.378109256e+03
     0.29922   3.484332771e+03
     0.29962   1.666305603e+03
     0.30002   1.623312074e+03
     0.30042   1.805492772e+03
     0.30082   1.894057471e+03
     0.30122   2.732536045e+03
     0.30162   2.344632406e+03
     0.30202   8.943510535e+02
     0.30243   1.798605218e+03
     0.30283   2.848576280e+03
     0.30323   4.535612034e+03
     0.30364   3.207355759e+03
     0.30404   2.852832350e+03
     0.30445   3.569458996e+03
     0.30486   2.519151723e+03
     0.30526   4.115608612e+03
     0.30567   2.570230210e+03
     0.30608   2.766439004e+03
     0.30649   8.520760318e+03
     0.30689   7.682570528e+03
     0.30730   1.197708830e+04
     0.30771   7.562626533e+03
     0.30812   4.760970769e+03
     0.30854   8.214038714e+03
     0.30895   7.490649538e+03
     0.30936   2.657510471e+03
     0.30977   5.225501785e+03
     0.31019   2.901773459e+03
     0.31060   1.455608616e+04
     0.31101   1.783234893e+04
     0.31143   1.970920316e+04
     0.31184   1.592545860e+04
     0.31226   1.745160184e+04
     0.31268   1.918841590e+04
     0.31309   1.895863548e+04
     0.31351   9.924395131e+03
     0.31393   2.210941246e+04
     0.31435   1.560147794e+04
     0.31477   1.769719682e+04
     0.31519   3.054646110e+04
     0.31561   2.181032243e+04
     0.31603   9.733933825e+03
     0.31645   1.864066758e+04
     0.31687   1.690372834e+04
     0.31730   2.821159991e+04
     0.31772   2.658185671e+04
     0.31814   1.386007361e+04
     0.31857   1.206047395e+04
     0.31899   2.745412148e+04
     0.31942   1.130591992e+04
     0.31985   1.537222510e+04
     0.32027   2.073700715e+04
     0.32070   2.409340597e+04
     0.32113   1.200130914e+04
     0.32156   1.227114749e+04
     0.32198   1.793929451e+04
     0.32241   1.261845063e+04
     0.32284   9.168248206e+03
     0.32328   1.363994905e+04
     0.32371   1.455521382e+04
     0.32414   2.057436479e+04
     0.32457   1.824562218e+04
     0.32500   1.621877525e+04
     0.32544   2.624281943e+04
     0.32587   4.050725969e+04
     0.32631   3.589460306e+04
     0.32674   3.638265611e+04
     0.32718   2.684164514e+04
     0.32761   3.179161982e+04
     0.32805   2.806519214e+04
     0.32849   2.992595309e+04
     0.32893   3.485005189e+04
     0.32937   3.873644064e+04
     0.32981   4.837968820e+04
     0.33025   3.649016250e+04
     0.33069   2.683141992e+04
     0.33113   3.039809461e+04
     0.33157   1.922884883e+04
     0.33201   3.415995115e+04
     0.33245   2.825146452e+04
     0.33290   3.192317196e+04
     0.33334   3.310839162e+04
     0.33379   2.366658870e+04
     0.33423   2.610828247e+04
     0.33468   2.956524038e+04
     0.33513   2.418432559e+04
     0.33557   2.919437585e+04
     0.33602   1.047768304e+04
     0.33647   2.306097396e+04
     0.33692   1.126775442e+04
     0.33737   9.768114013e+03
     0.33782   2.201017944e+04
     0.33827   1.516968910e+04
     0.33872   2.093394263e+04
     0.33917   1.534682218e+04
     0.33962   2.169707228e+04
     0.34008   3.045886819e+04
     0.34053   1.908995982e+04
     0.34098   2.089469197e+04
     0.34144   1.158013455e+04
     0.34190   2.295655339e+04
